Model_ID,Accuracy
google-bert/bert-large-uncased-whole-word-masking-finetuned-squad,0.89
deepset/bert-large-uncased-whole-word-masking-squad2,0.90
google-bert/bert-large-cased-whole-word-masking-finetuned-squad,0.89
csarron/bert-base-uncased-squad-v1,0.87
phiyodr/bert-large-finetuned-squad2,0.85
deepset/bert-base-cased-squad2,0.89
deepset/bert-base-uncased-squad2,0.90
deutsche-telekom/bert-multi-english-german-squad2,0.97
mrm8488/bert-tiny-finetuned-squadv2,0.44
mrm8488/bert-tiny-5-finetuned-squadv2,0.70
deepset/bert-medium-squad2-distilled,0.89
ashaduzzaman/bert-finetuned-squad,0.84
mrm8488/bert-small-finetuned-squadv2,0.79
mrm8488/bert-medium-finetuned-squadv2,0.82
madlag/bert-base-uncased-squad1.1-block-sparse-0.07-v1,0.79
phiyodr/bert-base-finetuned-squad2,0.87
batterydata/bert-base-uncased-squad-v1,0.83
Intel/bert-large-uncased-squadv1.1-sparse-90-unstructured,0.86
batterydata/bert-base-cased-squad-v1,0.85
Intel/bert-base-uncased-squadv1.1-sparse-80-1x4-block-pruneofa,0.81
madlag/bert-large-uncased-wwm-squadv2-x2.15-f83.2-d25-hybrid-v1,0.88
mrm8488/bert-mini-finetuned-squadv2,0.70
IProject-10/bert-base-uncased-finetuned-squad2,0.90
Intel/bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa,0.88
nikotang/bert-large-cuad,0.02
madlag/bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1,0.89
mirbostani/bert-base-uncased-finetuned-newsqa,0.78
rubentito/bert-large-mpdocvqa,0.89
DunnBC22/bert-base-uncased-e_CARE,0.10
JAlexis/Bertv1_fine,0.85
madlag/bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1,0.80
madlag/bert-base-uncased-squad1.1-block-sparse-0.13-v1,0.81
madlag/bert-base-uncased-squad1.1-block-sparse-0.20-v1,0.84
madlag/bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1,0.75
madlag/bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1,0.82
madlag/bert-base-uncased-squadv1-x1.16-f88.1-d8-unstruct-v1,0.82
VMware/bert-tiny-mrqa,0.37
lauraparra28/bert-base-cased-finetuned-squad-bs_16,0.81
madlag/bert-base-uncased-squadv1-x2.32-f86.6-d15-hybrid-v1,0.81
z-uo/bert-qasper,0.84
andi611/bert-large-uncased-whole-word-masking-squad2-with-ner-conll2003-with-neg-with-repeat,0.86
madlag/bert-base-uncased-squad1.1-block-sparse-0.32-v1,0.86
madlag/bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1,0.83
DunnBC22/bert-base-uncased-Vitamin_C_Fact_Verification,0.21
DunnBC22/bert-base-uncased-QnA-MLQA_Dataset,0.78
andi611/bert-large-uncased-whole-word-masking-squad2-with-ner-Pwhatisthe-conll2003-with-neg-with-repeat,0.90
madlag/bert-base-uncased-squad-v1-sparse0.25,0.82
andi611/bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat,0.91
andi611/bert-large-uncased-whole-word-masking-squad2-with-ner-mit-restaurant-with-neg-with-repeat,0.90
neuralmagic/bert-large-uncased-finetuned-squadv1,0.85
Adel-Elwan/msmarco-bert-base-dot-v5-fine-tuned-AI,0.34
VMware/minilmv2-l6-h768-from-bert-large-mrqa,0.81
JAlexis/bert_v2,0.85
andi611/bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat,0.88
mirbostani/bert-base-uncased-finetuned-triviaqa,0.75
VMware/bert-base-mrqa,0.83
VMware/bert-large-mrqa,0.89
DunnBC22/bert-base-uncased-Q_and_A-Answer_Prediction_Dataset,0.78
rein5/bert-base-uncased-finetuned-spoken-squad,0.84
DracolIA/BERT-Context-based-QA,0.87
VMware/minilmv2-l6-h384-from-bert-large-mrqa,0.76
JAlexis/bert003,0.84
zelcakok/bert-base-squad2-uncased,0.85
Francesco-A/bert-finetuned-squad-v1,0.85
philsupertramp/bert-finetuned-squad-test,0.85
VenkatManda/bert-tiny-squadV2,0.47
DunnBC22/bert-base-uncased-Figurative_Language,0.27
Eladio/bert-base-cased-squad2-finetuned-emrqa-msquad,0.84
96harsh56/bert_test1,0.83
96harsh56/bert_test2,0.84
Sarmila/pubmed-bert-squad-covidqa,0.83
