Split,Model Name,True Value,Predicted Value
1,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.14,-0.018894439423220416
1,mirbostani_bert-base-uncased-finetuned-newsqa.csv,-0.02,0.04097116537548892
1,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.04,-0.03581182096308205
1,mrm8488_bert-mini-finetuned-squadv2.csv,-0.01,-0.019004141994383578
1,madlag_bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1.csv,0.11,0.13569547801527673
1,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,-0.09,0.03188942736417555
1,deutsche-telekom_bert-multi-english-german-squad2.csv,0.01,-0.0334515528525475
1,DracolIA_BERT-Context-based-QA.csv,-0.05,0.170672669539855
1,JAlexis_bert_v2.csv,-0.11,0.0898238260502223
1,Sarmila_pubmed-bert-squad-covidqa.csv,-0.05,-0.046712031590815856
1,VMware_bert-large-mrqa.csv,-0.03,0.024402688907954675
1,rubentito_bert-large-mpdocvqa.csv,0.06,0.008790186303719805
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.0,-0.06503673957849643
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.32-v1.csv,-0.12,0.0438805495323325
1,VMware_bert-tiny-mrqa.csv,0.1,-0.0058172459226728535
2,philsupertramp_bert-finetuned-squad-test.csv,0.05,-0.10480122025574379
2,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.14,-0.03325561387318829
2,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.2,0.02287835577915459
2,VMware_bert-base-mrqa.csv,0.33,-0.002939790057169822
2,mirbostani_bert-base-uncased-finetuned-newsqa.csv,-0.02,0.017774271692893112
2,JAlexis_bert003.csv,-0.03,-0.07103522906195564
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat.csv,-0.04,0.0879661285017305
2,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.06,0.05492184361597041
2,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.04,-0.04855615386177406
2,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.0,-0.08071347892089936
2,google-bert_bert-large-cased-whole-word-masking-finetuned-squad.csv,0.0,-0.0968157457063542
2,lauraparra28_bert-base-cased-finetuned-squad-bs_16.csv,-0.09,-0.007631726581301346
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.4,-0.012990454964831644
2,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,-0.07,0.056871543097964994
2,madlag_bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1.csv,0.15,0.267356789681397
3,JAlexis_bert003.csv,-0.03,-0.03249978628958733
3,deepset_bert-large-uncased-whole-word-masking-squad2.csv,-0.03,0.012670662208727868
3,rubentito_bert-large-mpdocvqa.csv,0.06,0.09579588918177936
3,VenkatManda_bert-tiny-squadV2.csv,-0.06,0.24440586335031655
3,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,-0.07,0.03164202148774084
3,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,-0.12,-0.033706854635124295
3,Sarmila_pubmed-bert-squad-covidqa.csv,-0.05,-0.026795913135118477
3,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.47,0.08550882916648928
3,DunnBC22_bert-base-uncased-Q_and_A-Answer_Prediction_Dataset.csv,-0.11,-0.07535830449118336
3,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.06,0.031434053779878735
3,IProject-10_bert-base-uncased-finetuned-squad2.csv,-0.05,-0.05213691444741975
3,zelcakok_bert-base-squad2-uncased.csv,-0.05,0.040183326715940104
3,google-bert_bert-large-uncased-whole-word-masking-finetuned-squad.csv,-0.04,0.05118455922733767
3,DunnBC22_bert-base-uncased-Vitamin_C_Fact_Verification.csv,-0.02,-0.0029320655976512455
3,deepset_bert-medium-squad2-distilled.csv,0.02,0.022849514889252798
4,JAlexis_bert_v2.csv,-0.11,0.002854696755485204
4,deepset_bert-base-uncased-squad2.csv,-0.01,0.0007711727521770096
4,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pwhatisthe-conll2003-with-neg-with-repeat.csv,-0.03,0.0013348226908903003
4,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,-0.07,0.0017517892697173011
4,mrm8488_bert-tiny-finetuned-squadv2.csv,0.04,0.001580391585671436
4,mrm8488_bert-medium-finetuned-squadv2.csv,-0.02,0.002005954018594844
4,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.0,0.002561613072939167
4,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.04,0.0013793643188339604
4,mirbostani_bert-base-uncased-finetuned-newsqa.csv,-0.02,0.00048246515954183597
4,philsupertramp_bert-finetuned-squad-test.csv,0.05,0.0013501228227056385
4,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,-0.12,0.00041126417881926327
4,DracolIA_BERT-Context-based-QA.csv,-0.05,0.0027865357594810203
4,batterydata_bert-base-uncased-squad-v1.csv,-0.06,0.0008386190557103561
4,96harsh56_bert_test2.csv,0.68,0.008374868564764994
4,phiyodr_bert-large-finetuned-squad2.csv,-0.05,0.0013125130664223752
5,DunnBC22_bert-base-uncased-e_CARE.csv,0.03,0.000997789487780596
5,96harsh56_bert_test1.csv,0.68,0.005475894751691651
5,philsupertramp_bert-finetuned-squad-test.csv,0.05,0.0005273529311572889
5,Intel_bert-base-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,-0.09,0.0007775932198089474
5,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.14,0.0004960617716312151
5,phiyodr_bert-large-finetuned-squad2.csv,-0.05,0.0007691454398488583
5,batterydata_bert-base-cased-squad-v1.csv,-0.06,0.0012957273953183909
5,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,-0.07,0.0008635595238959948
5,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.4,-7.720000290696103e-05
5,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,-0.09,0.0008989269738045029
5,deepset_bert-base-cased-squad2.csv,-0.02,0.0010805037749614132
5,madlag_bert-base-uncased-squad1.1-block-sparse-0.07-v1.csv,-0.02,0.0019275603981743273
5,madlag_bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1.csv,0.15,0.00375458018248488
5,z-uo_bert-qasper.csv,-0.08,-0.0006234459893941675
5,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.47,0.0018023920985309272
6,VMware_bert-large-mrqa.csv,-0.03,0.001538033708929259
6,Sarmila_pubmed-bert-squad-covidqa.csv,-0.05,0.001880821182092368
6,96harsh56_bert_test1.csv,0.68,0.007826966937459413
6,deepset_bert-medium-squad2-distilled.csv,0.02,0.0009443835444894731
6,Intel_bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,-0.01,0.0015741951744663659
6,madlag_bert-base-uncased-squad1.1-block-sparse-0.20-v1.csv,-0.06,0.0024133103302402736
6,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,-0.09,0.0014624741453810176
6,z-uo_bert-qasper.csv,-0.08,0.000786808893580307
6,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.2,0.0014611142728205787
6,madlag_bert-base-uncased-squadv1-x1.16-f88.1-d8-unstruct-v1.csv,-0.05,0.0010433759782312428
6,DunnBC22_bert-base-uncased-e_CARE.csv,0.03,0.001494861690803068
6,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.06,0.00394231956769298
6,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-restaurant-with-neg-with-repeat.csv,0.28,8.239466876017876e-05
6,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.14,0.00046046805503748304
6,JAlexis_Bertv1_fine.csv,-0.05,0.002448637649472487
7,google-bert_bert-large-uncased-whole-word-masking-finetuned-squad.csv,-0.04,0.0797048886969754
7,Intel_bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,-0.01,-0.04225204695720669
7,VMware_bert-large-mrqa.csv,-0.03,0.019392907189675568
7,JAlexis_bert_v2.csv,-0.11,0.056196159697787185
7,nikotang_bert-large-cuad.csv,-0.07,-0.03156641861878309
7,madlag_bert-base-uncased-squad1.1-block-sparse-0.20-v1.csv,-0.06,-0.05551421905597248
7,mrm8488_bert-medium-finetuned-squadv2.csv,-0.02,0.06699169022360346
