Split,Model Name,True Value,Predicted Value
1,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.64,0.395586016789817
1,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.91,0.1984993809560609
1,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.86,0.5687543827038614
1,mrm8488_bert-mini-finetuned-squadv2.csv,0.91,0.5414240616466133
1,madlag_bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1.csv,0.69,0.27309403064885884
1,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.9,0.9941271618465766
1,deutsche-telekom_bert-multi-english-german-squad2.csv,0.96,0.5459824677959002
1,DracolIA_BERT-Context-based-QA.csv,0.92,0.41094342092920993
1,JAlexis_bert_v2.csv,0.93,0.7865314417641353
1,Sarmila_pubmed-bert-squad-covidqa.csv,0.88,0.7652694976642861
1,VMware_bert-large-mrqa.csv,0.92,0.45178941710246395
1,rubentito_bert-large-mpdocvqa.csv,0.04,0.5749840474242286
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.7627393628080713
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.32-v1.csv,0.95,0.6703800239934246
1,VMware_bert-tiny-mrqa.csv,0.65,0.5102299821254885
2,philsupertramp_bert-finetuned-squad-test.csv,0.42,0.9972412791866301
2,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.64,0.38355171780373554
2,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.64,0.5746198964337819
2,VMware_bert-base-mrqa.csv,0.42,0.5677446755430163
2,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.91,0.21619129941046328
2,JAlexis_bert003.csv,0.87,0.7359307476191476
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat.csv,0.89,0.2468216501494449
2,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.31,0.6989647335793244
2,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.86,0.5975140170434013
2,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.8190137205812283
2,google-bert_bert-large-cased-whole-word-masking-finetuned-squad.csv,0.89,0.8212760009841302
2,lauraparra28_bert-base-cased-finetuned-squad-bs_16.csv,0.93,0.6274436071102797
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.48,0.5585608148629002
2,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.89,0.4004282672337164
