Split,Model Name,True Value,Predicted Value
1,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.562457404674177
1,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.4250515800887922
1,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.5694828489179413
1,mrm8488_bert-mini-finetuned-squadv2.csv,0.9,0.78990530708464
1,madlag_bert-base-uncased-squadv1-x2.01-f89.2-d30-hybrid-rewind-opt-v1.csv,0.8,0.18262214275648095
1,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.81,0.6682086273162455
1,deutsche-telekom_bert-multi-english-german-squad2.csv,0.97,0.35439242718658076
1,DracolIA_BERT-Context-based-QA.csv,0.87,0.9996817458472949
1,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.36582236274935276
1,Sarmila_pubmed-bert-squad-covidqa.csv,0.83,0.8956583740341184
1,VMware_bert-large-mrqa.csv,0.89,0.3531293230724343
1,DunnBC22_bert-base-uncased-e_CARE.csv,0.1,0.4693359164825345
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.8957232132347992
1,madlag_bert-base-uncased-squad1.1-block-sparse-0.32-v1.csv,0.83,0.5369790833891132
1,madlag_bert-base-uncased-squadv1-x1.16-f88.1-d8-unstruct-v1.csv,0.75,0.3198156341881324
2,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.666282102796342
2,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.6374579800604414
2,Eladio_bert-base-cased-squad2-finetuned-emrqa-msquad.csv,0.84,0.6947721587351439
2,VMware_bert-base-mrqa.csv,0.75,0.7302103497579315
2,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.459022733804155
2,JAlexis_bert003.csv,0.84,0.8252342175283742
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-mit-movie-with-neg-with-repeat.csv,0.85,0.7330928281006486
2,VMware_bert-tiny-mrqa.csv,0.37,0.9654655006434594
2,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.6545835344212317
2,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.8704007064831577
2,google-bert_bert-large-cased-whole-word-masking-finetuned-squad.csv,0.89,1.0375565103821498
2,z-uo_bert-qasper.csv,0.84,0.8395092159010706
2,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.88,0.7754648366958039
2,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.82,0.6198956622174978
2,madlag_bert-base-uncased-squadv1-x2.44-f87.7-d26-hybrid-filled-v1.csv,0.21,0.7900404407176452
3,JAlexis_bert003.csv,0.84,0.848917298558665
3,deepset_bert-large-uncased-whole-word-masking-squad2.csv,0.9,0.9036620631479682
3,DunnBC22_bert-base-uncased-e_CARE.csv,0.1,0.5199007440470131
3,VenkatManda_bert-tiny-squadV2.csv,0.85,0.6539116484494477
3,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.82,0.5318380851177521
3,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.6433642561603713
3,Sarmila_pubmed-bert-squad-covidqa.csv,0.83,0.8148323401239616
3,DunnBC22_bert-base-uncased-QnA-MLQA_Dataset.csv,0.9,0.8052026351446738
3,DunnBC22_bert-base-uncased-Q_and_A-Answer_Prediction_Dataset.csv,0.78,0.8538570660691254
3,VMware_bert-tiny-mrqa.csv,0.37,0.919387382173833
3,IProject-10_bert-base-uncased-finetuned-squad2.csv,0.88,0.585768949565481
3,zelcakok_bert-base-squad2-uncased.csv,0.85,0.8265299280012056
3,google-bert_bert-large-uncased-whole-word-masking-finetuned-squad.csv,0.89,0.77696435419195
3,DunnBC22_bert-base-uncased-Vitamin_C_Fact_Verification.csv,0.78,0.6747042420731834
3,deepset_bert-medium-squad2-distilled.csv,0.89,0.377410991070515
4,madlag_bert-base-uncased-squadv1-x1.96-f88.3-d27-hybrid-filled-opt-v1.csv,0.82,0.6027422927353463
4,deepset_bert-base-uncased-squad2.csv,0.9,0.7100981656501154
4,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pwhatisthe-conll2003-with-neg-with-repeat.csv,0.82,0.8230373399046573
4,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.82,0.5118979753967225
4,mrm8488_bert-tiny-finetuned-squadv2.csv,0.44,0.8101428060881514
4,mrm8488_bert-medium-finetuned-squadv2.csv,0.82,0.617036599835426
4,madlag_bert-base-uncased-squad1.1-block-sparse-0.13-v1.csv,0.81,0.8504354184445184
4,neuralmagic_bert-large-uncased-finetuned-squadv1.csv,0.9,0.5510505949663184
4,mirbostani_bert-base-uncased-finetuned-newsqa.csv,0.89,0.4686367264822131
4,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.685550678378725
4,VMware_minilmv2-l6-h384-from-bert-large-mrqa.csv,0.76,0.6497114423430961
4,DracolIA_BERT-Context-based-QA.csv,0.87,1.0075251658045363
4,batterydata_bert-base-uncased-squad-v1.csv,0.83,0.812183339400214
4,96harsh56_bert_test2.csv,0.84,0.8097529596309281
4,phiyodr_bert-large-finetuned-squad2.csv,0.85,0.6617675692789263
5,JAlexis_Bertv1_fine.csv,0.85,0.7961200046676891
5,96harsh56_bert_test1.csv,0.83,0.782289816036896
5,philsupertramp_bert-finetuned-squad-test.csv,0.47,0.6704991316890065
5,Intel_bert-base-uncased-squadv1.1-sparse-80-1x4-block-pruneofa.csv,0.88,0.5937107100901021
5,madlag_bert-large-uncased-wwm-squadv2-x2.63-f82.6-d16-hybrid-v1.csv,0.78,0.5980191263422976
5,phiyodr_bert-large-finetuned-squad2.csv,0.85,0.6799047315900891
5,batterydata_bert-base-cased-squad-v1.csv,0.81,0.467577621079378
5,madlag_bert-base-uncased-squadv1-x1.84-f88.7-d36-hybrid-filled-v1.csv,0.82,0.6741028298824427
5,andi611_bert-large-uncased-whole-word-masking-squad2-with-ner-Pistherea-conll2003-with-neg-with-repeat.csv,0.88,0.8208800103574696
5,Adel-Elwan_msmarco-bert-base-dot-v5-fine-tuned-AI.csv,0.81,0.6760099136757969
